Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,material.heater,material.heater
1,power.fan,power.fan
1,power.heater,power.heater
1,material.body,material.body
2,geometry.motor,geometry.motor
2,rot.speed.fan,rot.speed.fan
2,geometry.nozzle,geometry.nozzle
3,geometry.fan,geometry.fan
4,material.fan,material.fan
5,geometry.heater,material.heater
5,geometry.body,power.heater
6,temperature.heater,geometry.motor
6,material.nozzle,power.fan
6,temperature.nozzle,power.fan
7,power.motor,power.motor
8,material.motor,temperature.heater
