Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,power.fan,power.fan
0,material.heater,material.heater
2,geometry.heater,temperature.motor
2,geometry.nozzle,temperature.motor
2,geometry.fan,geometry.fan
2,temperature.heater,power.fan
2,material.nozzle,material.heater
3,rot.speed.fan,geometry.fan
3,material.body,power.fan
3,power.heater,power.heater
3,material.fan,material.nozzle
3,temperature.nozzle,material.nozzle
4,geometry.motor,geometry.motor
4,power.motor,power.motor
4,geometry.body,material.heater
5,material.motor,temperature.motor
